"X";"squadra";"punti";"punti_finale";"punti_media";"classifica_finale";"classifica_mediana";"classifica_media"
"1";1;"Liverpool";21;21;22,65603;1;1;1,07636
"2";2;"Barcellona";18;19;19,87832;2;2;2,45778
"3";3;"Arsenal";16;19;17,97645;3;4;4,1934
"4";4;"Inter";16;19;17,98744;4;4;4,24006000000001
"5";5;"Atletico Madrid";15;18;17,2368;5;5;5,60652
"6";6;"Milan";15;15;17,0616;13;5;5,95856999999999
"7";7;"Atalanta";14;15;14,89525;9;12;10,95629
"8";8;"Aston Villa";13;16;15,0723;8;9;10,26592
"9";9;"Bayer Leverkusen";13;16;15,58383;6;8;8,58116000000001
"10";10;"Brest";13;13;13,58911;18;16;14,94577
"11";11;"Feyenoord";13;13;14,02346;19;14;13,49403
"12";12;"Lille";13;16;14,72339;7;11;11,3171
"13";13;"Monaco";13;13;13,77682;17;15;14,23829
"14";14;"Bayern Monaco";12;15;14,86537;12;11;11,03474
"15";15;"Borussia Dortmund";12;15;14,22391;10;12;13,03921
"16";16;"Celtic FC";12;12;12,70961;21;19;17,73061
"17";17;"Juventus";12;12;13,44167;20;16;15,66957
"18";18;"Real Madrid";12;15;14,21901;11;12;13,03707
"19";19;"Club Brugge";11;11;11,34282;24;22;21,69395
"20";20;"PSV Eindhoven";11;14;12,09239;14;21;19,37268
"21";21;"Benfica";10;13;11,26809;16;23;21,46678
"22";22;"PSG";10;13;11,45833;15;22;21,16609
"23";23;"Sporting";10;11;12,2239;23;18;19,02531
"24";24;"Stoccarda";10;10;11,16994;26;23;21,91707
"25";25;"Dinamo Zagabria";8;11;8,72732;25;26;25,64643
"26";26;"Manchester City";8;11;10,53168;22;23;23,19646
"27";27;"Shaktar Donetsk";7;7;7,59602;27;27;26,83693
"28";28;"Bologna";5;6;5,57639;28;29;29,0674
"29";29;"Sparta Praga";4;4;4,30344;31;31;30,71204
"30";30;"Girona";3;3;3,79736;33;32;32,0082
"31";31;"Lipsia";3;3;4,77603;32;30;30,40457
"32";32;"Salisburgo";3;3;3,56898;34;33;32,40463
"33";33;"Stella Rossa";3;6;4,36458;29;31;31,15937
"34";34;"Sturm";3;6;3,98064;30;32;31,66401
"35";35;"Slovan Bratislava";0;0;0,0946599999999999;35;36;35,77047
"36";36;"Young Boys";0;0;1,37588999999999;36;35;34,64516
