Anno_Periodo,Stato,"GALLARATESE, LAMPUGNANO, P. TRENNO, BONOLA","LAMBRATE, RUBATTINO, ROMBON","LORENTEGGIO, INGANNI, BISCEGLIE, SAN CARLO B.","PIOLA, ARGONNE, CORSICA","SARCA, BICOCCA","SEMPIONE, PAGANO, WASHINGTON"
2004,Normale,,2000,2175,2675,,
2004,Ottimo,,2550,2850,2850,,
2004,Scadente,,1650,1750,2050,,
2004.5,Normale,,2075,2175,2800,,
2004.5,Ottimo,,2650,2850,2950,,
2004.5,Scadente,,1700,1750,2125,,
2005,Normale,,2100,2250,2825,,
2005,Ottimo,,2700,2950,3100,,
2005,Scadente,,1750,1800,2150,,
2005.5,Normale,,2100,2350,2900,,
2005.5,Ottimo,,2750,3050,3250,,
2005.5,Scadente,,1750,1950,2250,,
2006,Normale,,2100,2400,2900,,
2006,Ottimo,,2900,3050,3350,,
2006,Scadente,,1800,2100,2250,,
2006.5,Normale,,2175,2400,3025,,
2006.5,Ottimo,,3025,3050,3500,,
2006.5,Scadente,,1875,2100,2350,,
2007,Normale,,2175,2400,3100,,
2007,Ottimo,,3025,3050,3650,,
2007,Scadente,,1900,2100,2350,,
2007.5,Normale,,2175,2400,3100,,
2007.5,Ottimo,,3025,3050,3650,,
2007.5,Scadente,,1900,2100,2350,,
2008,Normale,,2175,2400,3100,,
2008,Ottimo,,3150,3050,3800,,
2008,Scadente,,1900,2100,2350,,
2008.5,Normale,,2175,2400,3100,,
2008.5,Ottimo,,3100,3050,3800,,
2008.5,Scadente,,1900,2100,2350,,
2009,Normale,,2175,2375,3000,,
2009,Ottimo,,3100,3000,3700,,
2009,Scadente,,1900,2075,2300,,
2009.5,Normale,,2175,2325,3000,,
2009.5,Ottimo,,3100,2950,3700,,
2009.5,Scadente,,1900,2025,2300,,
2010,Normale,,2175,2350,3000,,
2010,Ottimo,,3100,2950,3700,,
2010,Scadente,,1900,2025,2300,,
2010.5,Normale,,2250,2375,2900,,
2010.5,Ottimo,,3150,3025,3900,,
2010.5,Scadente,,1900,2025,2300,,
2011,Normale,,2250,2375,2900,,
2011,Ottimo,,3150,3025,3900,,
2011,Scadente,,1900,2025,2300,,
2011.5,Normale,,2250,2375,2900,,
2011.5,Ottimo,,3150,3025,3850,,
2011.5,Scadente,,1900,2025,2300,,
2012,Normale,,2250,2350,2900,,
2012,Ottimo,,3200,3050,3850,,
2012,Scadente,,1850,1975,2250,,
2012.5,Normale,,2200,2300,2975,,
2012.5,Ottimo,,3175,3025,3850,,
2012.5,Scadente,,1800,1925,2200,,
2013,Normale,,2100,2225,2875,,
2013,Ottimo,,3075,2925,3800,,
2013,Scadente,,1750,1900,2200,,
2013.5,Normale,,2050,2225,2925,,
2013.5,Ottimo,,3000,2925,3800,,
2013.5,Scadente,,1725,1900,2175,,
2014,Normale,,2000,2125,2925,,
2014,Ottimo,,2900,2825,3800,,
2014.5,Normale,2000,2050,2125,2950,2150,3650
2014.5,Ottimo,2800,2800,2775,3800,3000,5050
2015,Normale,2000,2025,2025,2950,2250,3650
2015,Ottimo,2700,2750,2675,3750,3050,5050
2015.5,Normale,2050,2025,2125,2900,2300,3650
2015.5,Ottimo,2675,2700,2675,3700,3050,4950
2016,Normale,2000,2025,2100,2875,2250,3650
2016,Ottimo,2675,2700,2650,3700,3050,4950
2016.5,Normale,1950,2025,2000,2825,2350,3650
2016.5,Ottimo,2600,2650,2600,3600,3050,4950
2017,Normale,1850,2075,2050,2800,2300,3550
2017,Ottimo,2550,2675,2625,3600,3050,4950
2017.5,Normale,1900,2125,2000,2775,2300,3650
2017.5,Ottimo,2550,2625,2600,3550,3100,5000
2018,Normale,1925,2125,2050,2725,2350,3650
2018,Ottimo,2550,2625,2625,3500,3150,5100
2018.5,Normale,1925,2200,2025,2775,2350,3700
2018.5,Ottimo,2550,2700,2650,3600,3150,5250
2019,Normale,1900,2250,2075,2825,2375,3750
2019,Ottimo,2550,2750,2700,3700,3225,5250
2019.5,Normale,1925,2300,2100,2900,2375,3950
2019.5,Ottimo,2600,2900,2850,4000,3350,5500
2020,Normale,1950,2250,2175,2900,2375,3950
2020,Ottimo,2675,2950,3050,4100,3350,5500
2020.5,Normale,1950,2200,2125,2850,2375,3900
2020.5,Ottimo,2675,2950,3050,4150,3350,5500
2021,Normale,1950,2250,2175,2900,2375,3950
2021,Ottimo,2675,2950,3050,4100,3350,5500
2021.5,Normale,1900,2275,2200,3275,2550,4200
2021.5,Ottimo,2675,3250,3200,5000,3625,5950
2022,Normale,1950,2475,2600,3425,2625,4500
2022,Ottimo,2850,3500,3750,5300,3700,6350
2022.5,Normale,2500,2700,2800,3975,3000,4700
2022.5,Ottimo,3125,3700,3800,6300,4000,7050
2023,Normale,2550,2900,3000,4100,3100,5200
2023,Ottimo,3375,4000,3950,6250,4150,7250
2023.5,Normale,2600,3150,3100,4350,3250,5500
2023.5,Ottimo,3325,4200,3900,6500,4250,7650
